Occupation,Total Employed (thou) 2011,% Men 2011,% Women 2011,% White 2011,% Black 2011,% Asian 2011,% Latinx 2011
"Total, 16 years and over",139869,53.1,46.9,,10.8,4.9,14.5
"Management, professional, and related occupations",52547,48.6,51.4,,8.4,6.1,7.5
"Management, business, and financial operations occupations",21589,56.9,43.1,,7.3,5.1,7.7
Management occupations,15250,61.9,38.1,,6.3,4.6,7.7
Chief executives,1515,75.8,24.2,,2.7,3,4.1
General and operations managers,978,69.6,30.4,,6.6,2.7,7.6
Legislators,16,#VALUE!,-,,-,-,-
Advertising and promotions managers,87,49.5,50.5,,1.6,1.5,5.6
Marketing and sales managers,1009,54.2,45.8,,5.6,5.6,6.6
Public relations and fundraising managers,63,47.6,52.4,,2.8,0.4,3.1
Administrative services managers,128,60.5,39.5,,6.9,2.2,7.3
Computer and information systems managers,553,74.7,25.3,,5.7,12.9,3.8
Financial managers,1107,45.8,54.2,,6.5,5.8,8.7
Compensation and benefits managers,21,#VALUE!,-,,-,-,-
Human resources managers,243,26.4,73.6,,11.3,2.1,9.5
Training and development managers,38,#VALUE!,-,,-,-,-
Industrial production managers,259,83.5,16.5,,3.9,5.1,8.9
Purchasing managers,204,52.7,47.3,,8.8,2.1,8.8
"Transportation, storage, and distribution managers",254,85.9,14.1,,8.7,3,8.9
"Farmers, ranchers, and other agricultural managers",978,77,23,,0.9,0.8,4.1
Construction managers,926,93.9,6.1,,3,1.5,9.7
Education administrators,853,34.8,65.2,,13.3,2.9,6.5
Architectural and engineering managers,106,91.5,8.5,,1.3,5.9,4.7
Food service managers,1051,54.3,45.7,,9.2,9.2,13.9
Funeral service managers,13,#VALUE!,-,,-,-,-
Gaming managers,23,#VALUE!,-,,-,-,-
Lodging managers,148,47.6,52.4,,7,13.4,8.1
Medical and health services managers,529,28.6,71.4,,11.2,5,8.4
Natural sciences managers,16,#VALUE!,-,,-,-,-
Postmasters and mail superintendents,40,#VALUE!,-,,-,-,-
"Property, real estate, and community association managers",587,52,48,,8.8,3.1,8.8
Social and community service managers,329,28.7,71.3,,11.3,2.6,6.9
Emergency management directors,5,#VALUE!,-,,-,-,-
"Managers, all other",3173,66.1,33.9,,5.9,5.4,8.6
Business and financial operations occupations,6339,44.7,55.3,,9.8,6.6,7.8
"Agents and business managers of artists, performers, and athletes",48,#VALUE!,-,,-,-,-
"Buyers and purchasing agents, farm products",12,#VALUE!,-,,-,-,-
"Wholesale and retail buyers, except farm products",170,53.6,46.4,,4.2,4.7,11.8
"Purchasing agents, except wholesale, retail, and farm products",259,46,54,,8.7,3.5,5.3
"Claims adjusters, appraisers, examiners, and investigators",296,41.4,58.6,,16.5,2.3,9.5
Compliance officers,198,56.2,43.8,,10.9,3.8,9.4
Cost estimators,119,85,15,,2.7,2.3,6
Human resources workers,595,25.5,74.5,,15.1,4.4,10.5
