Occupation,Total Employed (thou) 2014,% Men 2014,% Women 2014,% White 2014,% Black 2014,% Asian 2014,% Latinx 2014,,,,,,,,,,,,,,,,,,,,,,
"Total, 16 years and over","146,305",53.1,46.9,,11.4,5.7,16.1,,,,,,,,,,,,,,,,,,,,,,
"Management, professional, and related occupations","56,050",48.4,51.6,,8.8,7.5,8.7,,,,,,,,,,,,,,,,,,,,,,
"Management, business, and financial operations occupations","23,171",56.3,43.7,,7.5,6.1,8.9,,,,,,,,,,,,,,,,,,,,,,
Management occupations,"16,199",61.4,38.6,,6.7,5.4,9.1,,,,,,,,,,,,,,,,,,,,,,
Chief executives,"1,603",73.7,26.3,,3,4.7,4.7,,,,,,,,,,,,,,,,,,,,,,
General and operations managers,887,70.5,29.5,,6.2,3.9,11.5,,,,,,,,,,,,,,,,,,,,,,
Legislators,17,#VALUE!,-,,-,-,-,,,,,,,,,,,,,,,,,,,,,,
Advertising and promotions managers,52,42.1,57.9,,6.7,4.9,4.6,,,,,,,,,,,,,,,,,,,,,,
Marketing and sales managers,917,53.9,46.1,,3.9,5.9,8.3,,,,,,,,,,,,,,,,,,,,,,
Public relations and fundraising managers,71,40,60,,7.7,7.9,12.9,,,,,,,,,,,,,,,,,,,,,,
Administrative services managers,134,59.2,40.8,,8.1,2.7,9,,,,,,,,,,,,,,,,,,,,,,
Computer and information systems managers,629,73.3,26.7,,6.3,11.6,4.9,,,,,,,,,,,,,,,,,,,,,,
Financial managers,"1,194",46.6,53.4,,7.8,6.9,10.5,,,,,,,,,,,,,,,,,,,,,,
Compensation and benefits managers,17,#VALUE!,-,,-,-,-,,,,,,,,,,,,,,,,,,,,,,
Human resources managers,236,25.6,74.4,,11.8,3.3,10,,,,,,,,,,,,,,,,,,,,,,
Training and development managers,38,#VALUE!,-,,-,-,-,,,,,,,,,,,,,,,,,,,,,,
Industrial production managers,273,82.2,17.8,,4.2,3.6,8.4,,,,,,,,,,,,,,,Occupation,Total Employed (thou) 2015,% Men 2015,% Women 2015,% White 2015,% Black 2015,% Asian 2015,% Latinx 2015
Purchasing managers,193,57.4,42.6,,7.6,8.9,11.6,,,,,,,,,,,,,,,,,,,,,,
"Transportation, storage, and distribution managers",260,78.4,21.6,,7,6.1,12.4,,,,,,,,,,,,,,,,,,,,,,
"Farmers, ranchers, and other agricultural managers",941,76.2,23.8,,0.9,0.8,4.2,,,,,,,,,,,,,,,,,,,,,,
Construction managers,711,92.6,7.4,,3.7,2.3,10.2,,,,,,,,,,,,,,,,,,,,,,
Education administrators,838,36.7,63.3,,13.3,2.1,9.1,,,,,,,,,,,,,,,,,,,,,,
Architectural and engineering managers,122,92.4,7.6,,2.7,9.9,8.4,,,,,,,,,,,,,,,,,,,,,,
Food service managers,"1,113",55.1,44.9,,9.8,10,16.4,,,,,,,,,,,,,,,,,,,,,,
Funeral service managers,13,#VALUE!,-,,-,-,-,,,,,,,,,,,,,,,,,,,,,,
Gaming managers,28,#VALUE!,-,,-,-,-,,,,,,,,,,,,,,,,,,,,,,
Lodging managers,146,45.4,54.6,,8.1,15.5,7.1,,,,,,,,,,,,,,,,,,,,,,
Medical and health services managers,593,28.2,71.8,,11,5.5,8.1,,,,,,,,,,,,,,,,,,,,,,
Natural sciences managers,18,#VALUE!,-,,-,-,-,,,,,,,,,,,,,,,,,,,,,,
Postmasters and mail superintendents,33,#VALUE!,-,,-,-,-,,,,,,,,,,,,,,,,,,,,,,
"Property, real estate, and community association managers",674,51.1,48.9,,7.5,3.1,12.9,,,,,,,,,,,,,,,,,,,,,,
Social and community service managers,362,34.7,65.3,,14.6,5.3,7.6,,,,,,,,,,,,,,,,,,,,,,
Emergency management directors,8,#VALUE!,-,,-,-,-,,,,,,,,,,,,,,,,,,,,,,
"Managers, all other","4,075",66.7,33.3,,6.6,5.5,9.2,,,,,,,,,,,,,,,,,,,,,,
Business and financial operations occupations,"6,972",44.3,55.7,,9.5,7.6,8.4,,,,,,,,,,,,,,,,,,,,,,
"Agents and business managers of artists, performers, and athletes",52,51.1,48.9,,9.7,5.7,8.3,,,,,,,,,,,,,,,,,,,,,,
"Buyers and purchasing agents, farm products",15,#VALUE!,-,,-,-,-,,,,,,,,,,,,,,,,,,,,,,
"Wholesale and retail buyers, except farm products",216,46.6,53.4,,6.1,7,8.8,,,,,,,,,,,,,,,,,,,,,,
"Purchasing agents, except wholesale, retail, and farm products",271,44.7,55.3,,10.8,3.5,9,,,,,,,,,,,,,,,,,,,,,,
"Claims adjusters, appraisers, examiners, and investigators",311,39.7,60.3,,15.2,3.3,9.7,,,,,,,,,,,,,,,,,,,,,,
Compliance officers,239,53.6,46.4,,10.4,5.3,9.3,,,,,,,,,,,,,,,,,,,,,,
Cost estimators,105,86.3,13.7,,2.4,3.8,5.6,,,,,,,,,,,,,,,,,,,,,,
Human resources workers,615,28.2,71.8,,13.3,4,12.1,,,,,,,,,,,,,,,,,,,,,,
"Compensation, benefits, and job analysis specialists",71,22.7,77.3,,16.3,8.6,9.1,,,,,,,,,,,,,,,,,,,,,,
Training and development specialists,128,41.7,58.3,,11,2.1,7.6,,,,,,,,,,,,,,,,,,,,,,
